ID,Applies To,Country,Date Start,Date end intended,Description of measure implemented,Exceptions,Implementing City,Implementing State/Province,Keywords,Quantity,Source,Target city,Target country,Target region,Target state
163,,Austria,"Mar 16, 2020",,On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.,,,,university closure,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,
132,,Germany,"Feb 01, 2020",,"102 German citizens and 26 relatives, all of whom were symptom-free on departure, were evacuated from the Wuhan region to Frankfurt am Main by the Executive Transport Wing of the German Air Force. After their return, they were placed in quarantine in a military barrack in Rhineland-Palatinate for 14 days.[716] The coronavirus was found in two passengers on 2 February.",,,,"international traveller quarantine - risk countries, traveller testing",0.0001,https://www.tagesschau.de/inland/coronavirus-germersheim-107.html,,,,
578,,United Kingdom,"Mar 20, 2020",,"All schools, nurseries and colleges closed.",,,,"nursery school closure, school closure, university closure",,https://www.theguardian.com/world/2020/mar/18/coronavirus-school-colleges-nurseries-england-close-uk-friday,,,,
372,,United Kingdom,"Mar 16, 2020",,"If one person in any household has a persistent cough or fever, everyone living there must stay at home for 14 days",,,,blanket isolation - symptoms,,https://www.bbc.com/news/uk-51920444,,,,
357,,United Kingdom,"Mar 16, 2020",,"By the weekend, those with the most serious health conditions must be ""largely shielded from social contact for around 12 weeks""",,,,isolation advice to elderly,,https://www.bbc.com/news/uk-51920444,,,,
356,,United Kingdom,"Mar 16, 2020",,"Everyone should avoid gatherings with friends and family, as well as large gatherings and crowded places, such as pubs, clubs and theatres",,,,"public announcement, social distancing",,https://www.bbc.com/news/uk-51920444,,,,
373,,United Kingdom,"Mar 14, 2020",,People who are self-isolating with mild symptoms are no longer being tested for the virus.,,,,"end of testing, testing criteria tightened",,https://www.bbc.com/news/uk-51889957,,,,
355,,United Kingdom,"Feb 26, 2020",,Britons returning from northern Italy told to self-isolate,,,,international traveller quarantine - risk countries,,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#advice-for-travellers,,,,
603,,United Kingdom,"Mar 18, 2020","Apr 18, 2020",The Foreign & Commonwealth Office (FCO) advises British people against all but essential travel worldwide due to unprecedented international border closures and other restrictions.,,,,outbound travel warning,,https://www.gov.uk/guidance/travel-advice-novel-coronavirus,,,,
,,Vietnam,,,,,,,,,,,,,
148,,Vietnam,"Feb 08, 2020",,"The school break in Vietnam was extended in all 63 first-level subdivisions, with the majority to 16 February and five to an unspecified time.",,,,school closure,,https://tuoitre.vn/63-63-tinh-thanh-pho-keo-dai-thoi-gian-nghi-hoc-cho-hoc-sinh-20200208175640702.htm,,,,
