,id,country,start_date,end,quantity
378,254,Finland,"Mar 16, 2020","Apr 13, 2020",10.0
414,292,Lithuania,"Mar 16, 2020","Mar 30, 2020",50.0
452,345,Latvia,"Mar 13, 2020","Apr 14, 2020",200.0
453,342,Netherlands,"Mar 15, 2020","Apr 06, 2020",30.0
468,364,Ireland,"Mar 15, 2020","Mar 29, 2020",10.0
503,396,United States,"Mar 16, 2020","Mar 30, 2020",1000.0
529,447,Romania,"Mar 08, 2020","Mar 31, 2020",1000.0
530,436,Romania,"Mar 11, 2020","Mar 31, 2020",100.0
533,442,Norway,"Mar 12, 2020","Mar 26, 2020",50.0
544,459,Germany,"Mar 13, 2020","Apr 20, 2020",90.0
599,588,Russia,"Mar 10, 2020","Apr 10, 2020",5000.0
613,583,Russia,"Mar 16, 2020","Apr 10, 2020",50.0
615,574,Russia,"Mar 13, 2020","Mar 20, 2020",1000.0
632,618,US: Oregon,"Mar 16, 2020","Apr 16, 2020",25.0
940,861,Denmark,"Mar 18, 2020","Apr 13, 2020",10.0
